"id","label","associatedNodeID","pos_x","pos_y","pos_z","selected","locked","visibility","positionStatus","vert_number"
"1","Apersonatus_15b_35um_Comma_Vert4-1","vtkMRMLScalarVolumeNode1",30.1998228626382,22.1495951610507,32.5935744003034,TRUE,FALSE,TRUE,"defined",4
"2","Apersonatus_15b_35um_Comma_Vert4-2","vtkMRMLScalarVolumeNode1",29.141808001966,21.198844793272,34.566530918584,TRUE,FALSE,TRUE,"defined",4
"3","Apersonatus_15b_35um_Comma_Vert4-3","vtkMRMLScalarVolumeNode1",29.4175330868685,20.9730265897497,34.5857675524144,TRUE,FALSE,TRUE,"defined",4
"4","Apersonatus_15b_35um_Comma_Vert4-4","vtkMRMLScalarVolumeNode1",29.0263881989836,20.8202595068338,34.4791980944277,TRUE,FALSE,TRUE,"defined",4
"5","Apersonatus_15b_35um_Comma_Vert4-5","vtkMRMLScalarVolumeNode1",28.4964578254956,20.2217653577229,34.4925722653576,TRUE,FALSE,TRUE,"defined",4
"6","Apersonatus_15b_35um_Comma_Vert4-6","vtkMRMLScalarVolumeNode1",28.4877624517323,20.7814010331453,34.4639355381552,TRUE,FALSE,TRUE,"defined",4
"7","Apersonatus_15b_35um_Comma_Vert4-7","vtkMRMLScalarVolumeNode1",29.0286431327357,20.2299790920748,34.4948163113375,TRUE,FALSE,TRUE,"defined",4
"8","Apersonatus_15b_35um_Comma_Vert4-8","vtkMRMLScalarVolumeNode1",28.9292538579453,20.713417506164,33.385503760451,TRUE,FALSE,TRUE,"defined",4
"9","Apersonatus_15b_35um_Comma_Vert4-9","vtkMRMLScalarVolumeNode1",28.422689167078,20.736525816043,33.3814165814272,TRUE,FALSE,TRUE,"defined",4
"10","Apersonatus_15b_35um_Comma_Vert4-10","vtkMRMLScalarVolumeNode1",28.7151635360997,20.4868057495597,33.9177172964254,TRUE,FALSE,TRUE,"defined",4
"11","Apersonatus_15b_35um_Comma_Vert4-11","vtkMRMLScalarVolumeNode1",27.0889492215034,18.6421872438738,33.4047403942814,TRUE,FALSE,TRUE,"defined",4
"11","Apersonatus_15b_35um_Comma_Vert4-12","vtkMRMLScalarVolumeNode1",27.0889492215034,18.6421872438738,33.4047403942814,TRUE,FALSE,TRUE,"defined",4
