pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1914.605107,177.587017,1269.517471,1071.709296
1914.940000,178.100000,1270.020000,1072.790000
1914.760000,178.040000,1269.780000,1076.000000
1914.790000,177.990000,1269.830000,1080.320000
2892.439503,153.949672,1269.850000,1084.910000
NaN,NaN,1269.840000,1090.210000
1884.200000,1073.940000,1269.970000,1095.820000
1884.160000,1080.610000,1270.210000,1100.620000
1883.030000,1086.290000,1270.040000,1104.880000
1882.790000,1090.140000,1268.860000,1108.470000
1883.690000,1093.890000,1268.740000,1111.010000
1884.360000,1097.620000,1269.370000,1112.090000
1883.830000,1100.480000,1269.030000,1112.050000
1883.730000,1100.430000,1268.820000,1111.340000
1883.990000,1098.340000,1269.050000,1108.900000
1884.020000,1096.160000,1268.610000,1105.580000
1883.700000,1091.170000,1268.350000,1100.600000
1884.080000,1086.610000,1269.120000,1095.390000
1884.190000,1081.090000,1269.750000,1088.990000
1885.380000,1070.060000,1269.520000,1083.380000
1885.310000,1060.040000,1269.310000,1077.940000
1884.990000,1052.280000,1269.320000,1073.040000
1884.200000,1044.440000,1269.210000,1068.080000
1883.310000,1037.970000,1268.960000,1064.620000
1882.250000,1031.200000,1269.370000,1061.470000
1882.590000,1029.860000,1269.720000,1060.220000
