pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1876.007586,1031.610318,1266.586035,1061.910764
1874.980000,1031.770000,1267.160000,1061.510000
1874.490350,1014.457754,1266.970000,1062.010000
1874.447889,1013.964273,1266.970000,1063.770000
1875.122216,1013.964273,1267.130000,1066.960000
1874.785053,1016.505393,1266.890000,1071.060000
1874.447889,1019.681794,1267.140000,1075.930000
1874.110726,1028.575716,1267.010000,1081.320000
1875.459380,1039.375478,1267.050000,1086.690000
1874.900000,1048.460000,1267.040000,1092.760000
1875.400000,1058.220000,1266.990000,1098.860000
1875.150000,1068.270000,1266.950000,1104.390000
1874.900000,1077.910000,1266.760000,1108.740000
1874.990000,1087.730000,1267.060000,1113.200000
1875.720000,1097.820000,1267.100000,1116.070000
1874.990000,1107.550000,1267.040000,1118.090000
1874.880000,1113.580000,1266.940000,1118.580000
1874.170000,1118.490000,1266.840000,1118.910000
1874.200000,1119.250000,1266.980000,1117.730000
1873.970000,1119.260000,1267.020000,1115.140000
1872.320000,1119.770000,1266.680000,1111.670000
