pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1839.098705,1076.855649,1212.110786,1079.572725
1840.197410,1057.238791,1213.025341,1076.483465
1835.802590,1034.971005,1213.190000,1075.970000
1834.780000,1023.600000,1213.890000,1076.080000
1833.100000,1016.990000,1213.990000,1079.380000
1832.680000,1012.660000,1214.040000,1083.520000
1831.160000,1011.970000,1214.080000,1087.920000
1831.250000,1015.100000,1214.190000,1092.800000
1831.040000,1021.860000,1213.980000,1098.980000
1831.910000,1029.990000,1214.300000,1104.560000
1832.530000,1039.720000,1215.220000,1108.320000
1832.110000,1053.170000,1214.610000,1111.380000
1835.040000,1067.050000,1214.560000,1113.310000
1836.880000,1077.940000,1212.568064,1117.085164
1838.330000,1089.790000,1212.680000,1117.220000
1837.170000,1096.820000,1212.550000,1116.920000
1837.490000,1102.640000,1212.820000,1114.780000
1837.130000,1105.820000,1212.970000,1110.900000
1836.790000,1107.700000,1212.530000,1105.980000
1836.990000,1106.790000,1212.210000,1100.780000
