pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1889.440524,1070.030873,1270.288586,1081.441249
1887.570000,1056.770000,1269.810000,1079.780000
1888.020000,1044.970000,1269.920000,1079.790000
1887.490000,1035.290000,1270.150000,1080.650000
NaN,NaN,1270.430000,1083.690000
1887.740000,1033.570000,1270.700000,1087.760000
1887.750000,1035.200000,1271.030000,1093.020000
1888.690807,1045.982132,1271.190000,1098.040000
1888.360000,1055.080000,1271.150000,1103.390000
1888.759809,1066.922441,1271.057797,1109.144430
1889.310000,1078.300000,1271.442402,1112.125152
1889.410000,1090.180000,1270.620000,1115.280000
1889.850000,1101.810000,1270.490000,1117.400000
1890.160000,1112.430000,1270.590000,1118.160000
1889.325534,1119.054219,1270.680000,1118.130000
1888.750000,1126.270000,1270.660000,1117.050000
1888.370000,1126.740000,1270.700000,1114.470000
1888.290000,1126.360000,1270.510000,1111.140000
1887.990000,1124.030000,1270.240000,1106.450000
1889.518239,1116.770078,1270.220000,1101.530000
1889.890000,1109.680000,1270.150000,1095.780000
1889.930000,1100.230000,1269.920000,1089.760000
1889.820000,1090.000000,1270.270000,1083.910000
1889.530000,1079.380000,1271.330000,1078.260000
1888.920000,1068.050000,1271.180000,1073.490000
1889.360000,1056.370000,1271.040000,1069.770000
1890.070000,1045.050000,1270.920000,1067.470000
1890.040000,1036.170000,1271.030000,1066.500000
1889.920000,1031.880000,1271.060000,1066.500000
1889.450000,1028.770000,1271.000000,1067.350000
