pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,1292.544624,1073.431604
1894.337030,1031.231091,1292.544624,1076.916928
1893.940000,1030.990000,1292.544624,1081.796382
1893.430000,1031.450000,1292.171684,1085.281706
1897.124786,1042.768909,1292.256438,1088.862105
1895.520000,1048.860000,1292.256438,1095.140865
1895.133532,1062.494857,1292.256438,1100.721984
1893.360000,1072.670000,1292.256438,1104.559004
1895.420000,1088.550000,1292.256438,1108.396023
1897.130000,1102.340000,1292.256438,1108.744843
1897.670000,1114.370000,1292.256438,1108.047203
1897.710000,1123.940000,1292.256438,1108.047203
1897.150000,1129.540000,1292.256438,1107.000743
1896.090000,1133.370000,1291.883477,1102.466084
1894.890000,1134.750000,1291.883477,1097.931424
1894.830000,1133.660000,1291.883477,1093.745585
1895.340000,1129.860000,1291.883477,1089.559745
1896.170000,1124.210000,1291.883477,1086.071546
1895.300000,1114.020000,1292.256438,1079.095146
1896.440000,1104.270000,1293.002360,1071.072287
1897.510000,1093.330000,1292.629399,1066.537628
1896.780000,1080.820000,1292.256438,1061.654148
1895.990000,1067.350000,1292.629399,1058.165949
1895.200000,1054.410000,1292.629399,1056.770669
1896.860000,1046.020000,1292.629399,1058.863589
1897.190000,1038.190000,1292.629399,1058.863589
